评论ID,评价内容,情感倾向,评价长度,长度分类
813,"这次来乐山旅游，选的这家酒店真的太赞了，强烈推荐给大家！办理入住时赠送的SPA代金券和酒吧体验券特别实用——颂钵疗愈能让人彻底放松身心，对改善睡眠超有帮助；酒吧的调酒味道也很赞，睡前小酌一口微醺入眠，舒服极了。
 尤其要感谢前台小赵和管家小娟，全程热情周到的服务让人心里暖暖的。有了他们的贴心帮助，这次乐山之行变得更加完美，体验感直接拉满～",正面,170,中等(101-200字)
814,让人惊喜的一家酒店，虽然位置确实稍微有点偏，但酒店本身很新，装修风格前卫艺术，房间宽敞，卫生间窗户是可以打开的我很喜欢。早餐品种和品质也很不错。另外管家小帅，小税和经理小黄服务热情专业，入住之前先打电话询问了入住的时间/房间喜好等等，也添加微信发送位置和酒店其他信息，还有当天天气等等，非常周到,正面,147,中等(101-200字)
815,从踏入酒店大堂的那一刻起，就感受到了无微不至的服务。前台小郭小娟热情专业，办理入住高效顺畅！床品柔软舒适，尤其有个小靠垫，靠着休息时相当舒服！卫生间干净整洁，干湿分离合理，淋浴水压充足且水温稳定，洗浴用品品质也不错。房间隔音效果良好，空调运行安静，营造了非常舒适的休息环境。酒店整体的清洁卫生状况令人非常满意。乐山是一个成熟的旅游城市，以后有时间必然还会再来，也会继续选择安铂酒店！早餐也很好吃哟,正面,198,中等(101-200字)
816,前台帅哥小郭非常热情。服务很好。说话很温柔。管家小帅小代很热心的给我们解决入住。及时解决问题。外卖也能由她们工作人员亲自送上楼。棒棒哒👍🏻,正面,69,短(51-100字)
817,房间布草干净，前台服务态度很好，黄经理和管家小帅服务周到，非常贴心！赞！下次去乐山的第一选择！,正面,47,极短(≤50字)
818,酒店还是不错的，健前台Lena，管家Joy都很专业尽职,正面,27,极短(≤50字)
819,、服务非常贴心，早餐很丰富，总之非常好,正面,19,极短(≤50字)
820,酒店设计的不错，环境很好，管家小袁服务热情贴心，很满意的旅行。,正面,31,极短(≤50字)
821,酒店位置方便，安静，卫生，设备贴心。,正面,18,极短(≤50字)
822,酒店设计还不错，很有格调，法式风格。新开的酒吧还不错，也准备了小朋友的活动。有遗留物品前台小娟也是第一时间联系我，服务不错。退房也很快，给管家发了退房消息，房卡放房间就可以直接离开啦。,正面,92,短(51-100字)
823,新酒店房间不错,正面,7,极短(≤50字)
824,"旅程返程专门回乐山安珀又停留两晚 实在是留下很美满印象的酒店 管家小周从第一次入住前就积极联系安排 热情周到 第二次入住很幸运又遇到小周 妥帖安排接送站 从每早的问安和天气提醒到晚间的晚安甜点 乐山安珀的服务让我们在旅途中感受到回家的舒适安逸 虽然酒店新开 但服务人员的精神满满和热情体贴让人心生欢喜 一扫炎热天气的不振 会因为这家酒店专门再来乐山 谢谢你们成为四川之行的点睛之笔！
设施：崭新 合理
卫生：洁癖级别
服务：最大惊喜
展开更多",正面,221,长(201-500字)
825,住过贵阳安珀就被种草了，这次到乐山毫不犹豫就定了乐山安珀，服务还是一如既往的好，管家小代和小帅有求必应，前台小钱也热情，唯一就是可能春节期间小孩比较多，楼上会有一阵阵的声音。临走还送了纪念品。,中性,96,短(51-100字)
826,停车方便，酒店服务非常好，很热情，服务态度特别棒，卫生很干净，整体十分舒适，住的很满意！管家小方服务好的没话说👍,正面,56,短(51-100字)
827,酒店很有设计感，拍照好看，位置离高铁站很近，早饭种类丰富且好吃，小雷管家和小方管家超级奈斯，服务很贴心，下次还来,正面,56,短(51-100字)
828,设施完美，服务优质，管家服务细心周到。,正面,19,极短(≤50字)
829,超乎想象的经验！,中性,8,极短(≤50字)
830,房间户型很一般,中性,7,极短(≤50字)
831,亲子游第一次入住安珀酒店，感叹乐山还有这么精致且有格调的酒店，处处显示出不一样的用心，让我第一体验就是这个酒店有格调，有品位。办理入住一切都很顺利，感谢服务的管家小代，小税和前台小颖的贴心服务。客房很新，整体硬件偏法式，床上用品也很干净，让人进屋就有好心情。迷你吧和欢迎果盘，还有亲笔写的欢迎卡片，无不透露着对客户的尊重与体贴。不得不表扬的是早餐，质量和数量都达到平衡，各种小吃也都有提供。如果我再到乐山，安珀酒店一定是首选。,正面,213,长(201-500字)
832,入住安珀酒店体验极佳！前台小方和小娟服务热情周到，办理快速，主动推荐周边攻略，需求响应及时。房间干净整洁，设施齐全：床品舒适，淋浴体验好，智能设备便捷，细节贴心（如免费茶包、暑期亲子活动）早餐丰富。下次必选这家，五星推荐！⭐,正面,112,中等(101-200字)
833,大厅、大堂、地下停车场入口、走廊到房间都是慵懒的法式简约设计，一走进酒店松弛感就扑面而来。酒店房间的设施都非常棒 洗浴用品是 ETRO 的，淋浴器是汉斯格雅的，吹风机是戴森全套。 感谢管家小代小祝，前台小钱的贴心又温暖人心的服务。迷你吧是包含在房费内的，真心舒服。希望酒店能一直保持下去，下次还会再来,正面,150,中等(101-200字)
834,房间干净，服务热情，早餐很棒！,正面,15,极短(≤50字)
835,新开的五星级酒店，管家服务很好，很不错的体验,正面,22,极短(≤50字)
836,很满意 早餐很好，会再次体验,正面,14,极短(≤50字)
837,非常美的酒店,中性,6,极短(≤50字)
838,环境整洁舒适，服务热情周到，前台的小张和小娟很热情，房间宽敞明亮，设施齐全，床品柔软干净，体验感挺好的。超出预期！,正面,57,短(51-100字)
839,管家小方服务细致周到，提前电话沟通确认需求，主动了解入住偏好，并在入住期间热情推荐周边特色美食，提供个性化服务，让客人住的舒心。前台小郭业务熟练高效，办理入住流程迅速专业，证件核对、信息录入及房卡发放一气呵成，同时清晰介绍酒店设施与服务，展现优秀的职业素养。她们以热情微笑和细致服务给我们营造了宾至如归的体验，非常不错。,正面,160,中等(101-200字)
840,房间干净舒适，服务贴心细致，各方面都很好，尤其是管家小方小尹服务很好，下次还会再来。,正面,42,极短(≤50字)
841,酒店有地下停车场，停车方便，入住前会提前联系，告知需求也是按要求排房间，前台小娟办理入住速度，服务态度好，退房有遗留物品管家小方也是及时联系，很细心，很不错的酒店，房间也比较大，住的舒服，下次还会来。,正面,100,中等(101-200字)
842,肯定是乐山最好的酒店了，新装修很有设计感！很有档次！管家小帅、小袁、小郭来回深度照顾很好的！,正面,46,极短(≤50字)
843,房间干净整洁，装修现代化，早餐很美味，服务也特别好，小帅和小袁服务很热情,正面,36,极短(≤50字)
844,"首先呢，第一次带小朋友出去，管家小周倒是安排的挺好的，把小朋友的围栏什么的都考虑到了，尽心尽责。
其次，酒店新开的，各方面都挺好的，也没有味道，希望能一直保持下去。
最后，去乐山的最优之选，没有之一。

最大的遗憾，下雨了，不然可以晚上在露台吹吹风，喝喝酒，聊聊天，那才是舒服…
展开更多",正面,144,中等(101-200字)
845,临时订的这个酒店，没想到入住体验这么棒！进酒店管家小税就一直帮忙搬行李，前台也非常热情！装修我很喜欢，法式复古感，房间墙上装饰画的细节都是秀上去的。矿泉水也很别出心裁的用了环保材料，配置也高，吹风都是戴森的，希某顿和万某豪都没上戴森啊。早餐种类丰富，乐山特色的美食都有了。半退房的时候还送了伴手礼！总之体验非常好，下次来乐山还住！,正面,165,中等(101-200字)
846,服务住宿都不错,正面,7,极短(≤50字)
847,酒店设计真不错，送的下午茶也挺好吃，整个酒店的工作人员服务态度都很好，特别是小方和小帅，客房管家有求必应，不错的体验,正面,58,短(51-100字)
848,入住体验一如既往的秉承安珀的品质，房间和服务都非常棒，特别是管家小王和小黄从入住前到退房后的关心都很贴心，前台小虹也很细致。感谢安珀带来在乐山为数不多的亮点,正面,78,短(51-100字)
849,五一假期入住的，还给免费升级了房型。电梯里香香的，房间很大，隔音也非常好。有这么问题直接问管家，回复都非常及时，服务非常棒。感谢小袁小代和小祝的细心服务。酒店的早餐也非常丰盛和好吃。位子也比较多，假期也没有很拥挤🥳,中性,107,中等(101-200字)
850,各方面都很不错 法式浪漫 管家小雷和小帅也很不错 服务态度特别好 下次来乐山度假也来住 卫生完全没问题 下午茶很不错 早餐也好吃,中性,64,短(51-100字)
851,房间很干净也很安静，还有前台小娟和管家小方，真的是有求必应，服务很好，非常好的一次入住体验,正面,45,极短(≤50字)
852,非常好！应该算是当地的NO.1,正面,15,极短(≤50字)
853,酒店很高级，卫生服务都非常好👍管家小代，小帅和前台小雨人都非常好，服务态度也很好，不愧是五星级酒店，下次来还会再选择安珀。,中性,61,短(51-100字)
854,酒店环境很不错，很法式风格，有专门的地下停车场，停车非常方便，房间舒适，管家小帅人如其名，不仅帅气，服务还很好，还有健身房，非常推荐大家来乐山住安珀，很不错。,正面,79,短(51-100字)
855,硬件设备可，服务跟不上,中性,11,极短(≤50字)
856,非常满意的酒店，关键里面陈列的艺术品让我印象深刻，服务很好！尤其管家小袁的￼服务非常贴心，很棒的酒店,正面,50,短(51-100字)
857,居住环境好，卫生也不错,正面,11,极短(≤50字)
858,酒店的硬件及服务都非常好！管家小周在我们从入住前就热心安排接站，后续每天都问候并了解入住情况。,中性,47,极短(≤50字)
859,"非常不错的酒店，服务、环境、硬件设施、餐饮不止在乐山，在四川内也是非常优秀的。
早餐非常有特色，咖啡很专业，牛肉面、甜皮鸭也非常正宗，在酒店里能做到这个程度很难得，还有现烤的牛角包。服务态度也很好，任何疑问管家小周都在10分钟内回复，这点比后面峨眉山的酒店管家优秀很多👍",正面,135,中等(101-200字)
860,酒店管家小代小帅小颖服务不错，早餐好吃,正面,19,极短(≤50字)
861,非常好的高端酒店,正面,8,极短(≤50字)
862,整体体验很好～～送的酒超级好喝，推荐蔷薇和茉～～还有胶片机播放音乐。感谢管家小杨和小帅服务很贴心，会给我们推荐本地烧烤，感谢小鱼来高铁站提前来接，体验感很棒！,正面,79,短(51-100字)
863,"关注安珀酒店很久了，尤其被其设计风格所吸引，在入住酒店前以及在住酒店期间和离开酒店后，整个过程都令我无比的愉悦轻松。在入住前会致电问候，提前询问了我到店时间以及对房间的要求，询问枕头喜好等等。前台小钱和Ivy的热情服务让我对酒店的设计细节更为清晰明了了，法式和中式的结合，碰撞出如此浪漫热烈又含蓄的安珀，设计上是下足了功夫，房间也很满意。但安珀不仅仅是在设计上深得我心，服务上下了功夫才是真正打动我的地方，不论何时管家都非常热情，微笑问好，按电梯，做指引，是万能的小帮手。管家小祝在离店时主动帮拿行李，并且推荐了游玩地点和交通方式推荐，很是受用。再次感谢酒店工作人员的热情服务，在安珀，我遇见美好···
展开更多",正面,306,长(201-500字)
864,房间宽敞，非常有设计感的一家酒店。床品很好，床垫和枕头都舒适。入住前和入住中管家小代和小帅沟通好需求，并且耐心帮忙解决。最后司机小祝为我们送站，驾驶平稳，态度很好。,正面,82,短(51-100字)
865,这次回乐山选择了安珀酒店，酒店房间很漂亮，小朋友和我都很喜欢，早餐很丰富，位置很好，管家小代，还有前台小李小黄也非常热情，下次回乐山还回选择安珀酒店。,正面,75,短(51-100字)
866,管家小代 小帅很热情 进出都会问候 小郭处理问题非常迅速 很满意的一次入住,中性,37,极短(≤50字)
867,"酒店比较新，房间是轻法式风格的，床品很不错。
前台小赵，小颖，管家小代热情周到
早餐丰富，翘脚牛肉和蛋烘糕好吃",正面,55,短(51-100字)
868,环境不错，夜床服务非常细心，每晚准备不同的安睡小食，管家小方和小帅很细心周到，每次都会满足我所提出的相关需求。下次来乐山还是会选择再次入住。,正面,70,短(51-100字)
869,"颂钵疗愈体验:非常棒，放松了身心我，这么热的天能放松下来挺好。
设施：比较新
卫生：做的到位
环境：舒适
服务：周到，态度蛮好
表扬前台小帅、小杨非常贴心照顾。
展开更多",正面,85,短(51-100字)
870,这次入住的体验真的非常好！从入住到离店，酒店的服务都让我们感到非常满意。管家小帅  小方无比贴心。房间宽敞明亮，设施齐全。下次再来一定会选择再次入住安珀酒店！,正面,79,短(51-100字)
871,不错有设计感,正面,6,极短(≤50字)
872,酒店房间干净整洁 小颖 小赵 小钱服务态度非常好 管家很省心 餐食也很不错 推荐,正面,40,极短(≤50字)
873,哈哈哈哈哈哈哈哈好,正面,9,极短(≤50字)
874,干净整洁，大堂设计独特，早餐丰富，乐山小吃好几种。管家小帅，小袁和前台小娟服务非常周到热情。,正面,46,极短(≤50字)
875,非常好，环境很漂亮，停车也很方便  酒店前台很热情，服务周到 ，整个入住过程特别愉快且放心，房间的布局也是我很喜欢的风格，各类设施齐全，非常满意的入住体验，特别表扬一下前台小赵和小颖小姐姐，态度超级好，很有耐心，推荐!,正面,109,中等(101-200字)
876,很喜欢这个酒店，办理入住时前台很有礼貌，房间很大，入住还送了好吃的欢迎水果，房间内也尽显奢华风，吹风机是戴森的、蓝牙音响是BOSE的，还有免费的迷你吧，衣帽间和洗漱也是干湿分离，很方便，早餐也是丰盛，满满的乐山味道，感觉都快把乐山美食全搬到餐厅里，这里特别感谢酒店的服务管家小尹~服务非常热情，很贴心，对了，管家提前一天打电话联系就发了乐山的旅游攻略，很赞。,正面,179,中等(101-200字)
877,入住两天，感觉不错，管家小代和前台小李都很热情，来乐山首选,正面,29,极短(≤50字)
878,这次入住的体验真的非常好!管家小帅和小陶的服务也是非常nice。前台办理入住也很迅速，全程微笑服务，房间宽敞明亮，设施齐全。来乐山还会继续选择安珀，点个赞👍🏻,正面,79,短(51-100字)
879,服务态度很好,正面,6,极短(≤50字)
880,服务很好 房间也不错 继续保持,正面,15,极短(≤50字)
881,"这次入店体验服务超乎我的预期，订酒店的费用不是很高，所以预期也不是很高。到了酒店从设施，装修的时间，风格都是自己喜欢的，设施新，复古风！
在服务方面，感觉比华尔道夫酒店的服务更加贴心，我特别注重细节，从进入酒店，管家小赵发来很多当地的特色小吃和地图，还有房间配备的水果，晚上送来的甜品和管家亲笔留下的暖心简画和贴心的字条，这些小小的细节更能打动我！
离开酒店当天雨下得特别大，准备带孩子吃早餐，联系了前台小钱，本打算麻烦他帮我预约一下网约车，结果小钱帮我联系了酒店的司机小帅，免费送我们去了高铁站，并一路帮忙提行李送到大厅！在离开酒店的时间，前台小钱还有管家小赵还为孩子准备了一个小玩偶，为我们备了两瓶矿泉水，这一些小小的细节却深深地打动了我，住过很多酒店，但这一次却让我留下了很深的印象，从礼宾到前台到客房服务到保洁都是彬彬有礼，训练有素的一个团队，酒店硬件软件方面都看得出很用心的打造，包括一双拖鞋做到的细节，足已让我觉得可以甩过很多五星级和金钻酒店的服务！以后来乐山，不二之选一定是安珀酒店！
展开更多",正面,454,长(201-500字)
882,新酒店，设施各项都不错，早餐虽然品类不算特别多但品质在线，服务好评～反馈速度快。给两位管家小帅小代以及前台妹妹小颖点赞。,正面,60,短(51-100字)
883,此行定了两间，都好,正面,9,极短(≤50字)
884,酒店环境设施很不错在乐山是数一数二的，整个装修设计很有格调，就在万达广场旁边.管家Mark 一路详细介绍服务周到，入住期间有问题及时给我们解决，办入住时前台小钱还帮我们做了升级，服务态度很好，第二天早餐是点餐形式的，品质很棒还不浪费，退房时黄经理还来了解我们的入住感受，我只能说不虚此行，很棒的一次入住体验,正面,153,中等(101-200字)
885,我必须给这家酒店一个大大的好评，前台办理入住很快，态度很好，服务管家小袁小帅热情周到，服务态度极佳，太满意这个酒店啦！！！！,正面,62,短(51-100字)
886,酒店离高铁站车程10分钟左右，非常方便。整个酒店很新，轻奢欧式风，用的材料家具都很舒适有质量，细节处是非常干净。让人非常舒心。管家小帅服务细致。送的下午茶送到房间。很开心的stay。,正面,91,短(51-100字)
887,"酒店位置离高速出口不远，到市区吃饭和景点需要开车几公里，自驾的话比较方便。

设施：房间比较宽敞，马桶有卫洗丽，吹风是戴森，洗漱用品有漱口水。早餐品种在星级酒店里不算多，优点是不像其他酒店的全自动咖啡机，而是用的半自动，所以员工现场还可以制作dirty。

服务：管家小帅、小代和前台小颖的服务很亲切、贴心；入住会引导进房间作简单介绍；欢迎水果的荔枝很新鲜，小番茄用的千禧，还赠送了一瓶玻瓶的峨眉雪；开夜床送了一个黑芝麻味的甜品；得知我过生日所以还送来一个红丝绒小蛋糕。临走退房之后还赠送了一袋小零食。

总之服务和其他酒店品牌相比真的很好，性价比很高，所以下次再来乐山我一定还会选择安珀，也会推荐给朋友。
展开更多",正面,308,长(201-500字)
888,非常好的体验。,正面,7,极短(≤50字)
889,酒店环境很不错，服务也周到，专属管对接，这次遇到的管家小方和小帅细心周到，入住体验很棒👍,正面,44,极短(≤50字)
890,我必须要给这家酒店一个大大的好评，酒店的环境优雅，装修精致，房间采用干湿分离，细节之处尽显用心，管家小方和小祝服务非常好，退房给我们推行李，服务无可挑剔，让我们有了一种回家温暖的感觉，下次还会选择这里。,正面,101,中等(101-200字)
891,服务特别好 热情周到 这次住了下次还会过来的 房间很干净 管家小帅的服务特别好 点赞,正面,42,极短(≤50字)
892,服务非常到位，下次还会住,中性,12,极短(≤50字)
893,乐山终于有不输峨眉山的五星酒店了！室内装修简洁大气，管家小周很赞，早餐的品质也不错，值得二刷！,正面,47,极短(≤50字)
894,环境非常棒 服务也非常好 管家小方小雪贴心处理所有问题 而且来玩还推荐本地旅游攻略 很舒服的体验 酒店设施齐全 住的很舒服,正面,61,短(51-100字)
895,这次订的酒店非常满意，私密性比较好，管家小袁、小祝和前台小黄的服务都非常好，能感受到被真心对待，还有欢迎水果和离店小礼物，下次还会选择这个酒店！,正面,72,短(51-100字)
896,好好好好好,正面,5,极短(≤50字)
897,整体服务不错,正面,6,极短(≤50字)
898,此次乐山最好的酒店,正面,9,极短(≤50字)
899,房间可以，服务可以,中性,9,极短(≤50字)
900,本人对酒店的要求比较高，这次看到乐山开了新的豪华酒店就想来试一下。很满意。我一个人，住的非常清静舒服。房间设施新，员工服务到位 （小周管家特别好），早餐也不错。乐山很多馆子环境不是特别好，白天吃吃吃了晚上回酒店躺着，爽的不得了。还会再来。,正面,119,中等(101-200字)
901,环境非常好,正面,5,极短(≤50字)
902,非常非常满意,正面,6,极短(≤50字)
903,"1.酒店：环境非常好，房间干净卫生，前台小钱小王服务热情，有专人陪同办理入住及送到房间。
2.服务：酒店主打电话接站，司机小祝很早就在高铁站等，还贴心的带了雨伞，主动提行李。
3.用餐：酒店早餐很丰盛，食材很棒，牛肉面牛肉超级多，服务人员随时帮忙撤换餐盘，很用心，用晚餐还有经理模样的人主动问用餐情况，满意不满意。
4.下次过来还会继续住这家酒店，也希望酒店继续保持优质服务",正面,187,中等(101-200字)
904,房间很好，设施很新，管家小袁，小帅和前台小郭服务周到，非常满意的一次入住,正面,36,极短(≤50字)
905,最印象深刻的是服务，服务态度非常非常好，管家小帅，小代和前台小颖都很贴心细心，有不输嘉佩乐酒店的服务质量。酒店设计感较强，房间布局和风格很喜欢。入住两天送了不同的点心，酒店周边也很方便，下次来乐山肯定还会选择安珀，强烈推荐～,正面,112,中等(101-200字)
906,酒店设施非常好，服务也非常不错，专属管家小代小祝和前台小钱对我们的要求都会积极回应，服务态度让人感到非常亲切，早餐也很不错,正面,61,短(51-100字)
907,这次挑了很久最终选择了乐山安珀，非常满意，管家小代，小税有求必应，所有问题都耐心解答，周边环境，酒店的设施时间都有详细告知，非常不错，前台小颖也很耐心专业且快速的办理入住，有人送行李到房间，从到酒店到入住都很丝滑，酒店早餐的蛋烘糕真的深得我心，我吃了4个，哈哈哈哈，下次去乐山还会选择安珀，够新，服务品质在线,正面,154,中等(101-200字)
908,入住这几天非常舒适，房间各类硬件和软装也非常有品味，很感谢管家小周贴心的服务，也感谢前台的小妹妹小钱和小赵细心的办理入住。整个酒店都非常的有调性，下次来还会选择安铂酒店！！,正面,86,短(51-100字)
909,"卫生：房间很干净，很整洁。管家小代介绍了房间设施。
环境：环境很好，房间布置的也比较用心。
服务：服务很周到，管家团队（小帅和小代）前台小赵很贴心、很热情，答复很及时，帮我们办理了提前入住和接站服务。并且升级了房型。
再提一句管家团队很好。",正面,120,中等(101-200字)
910,出门几乎都是住五星，这家安柏的硬软件很合我们的喜好。甚至可以和超五星媲美，设计审美可以算是第一梯队，出现在乐山很惊喜。设备安心，早饭好吃。管家小祝也很负责任，唯一小缺点是11岁孩子需要正价早餐。,中性,97,短(51-100字)
911,房间干净卫生整洁，服务特别好。管家小帅，小代和前台小慧，他们很热情、很主动贴心！给他们点赞👍,正面,46,极短(≤50字)
912,酒店环境很法式风格，大厅很适合打卡，员工服务特别好，尤其是我的管家lip特别贴心，有求必应，太热情啦，以后到乐山肯定会再来的。,正面,63,短(51-100字)
913,非常满意，不愧是安珀品牌，品质优秀，设备非常新，服务一流，管家小雪耐心细致的服务，让人有宾至如归的感觉！下次还选安珀！,正面,59,短(51-100字)
914,第一次入住这个酒店 工作人员都非常有礼貌和贴心 酒店设施干净整洁 特别是管家小方提前联系 询问需求 并及时回复  而且就在万达附近   下次来还住这,正面,74,短(51-100字)
915,房间设计时尚大气，每天送水果，服务周到，有要求很快回应，尤其是管家小帅、小祝和经理小黄，服务很到位！下次还会再来！,中性,57,短(51-100字)
916,"非常棒的酒店，整体环境干净、安静、优雅，随处可见非常精心的设计和装饰，鲜花、绿植都是满满的设计和生机。
房间设施齐全便利，配色也极其舒适高级，房间服务做得非常到位，每天下午配送不同口味的甜品，每天都放置新鲜多样的水果，对于爱喝水的人来说也配足了纯净水。
酒店服务非常好，提前电话咨询几点到店，如果是高铁往返还安排了专车接送，接站司机小祝提前半小时就发来信息告诉已到接站口，穿着什么衣服，留了电话方便联系，非常让人安心和暖心。管家小代、小袁早早加了微信，随问随答非常耐心。
餐厅的早餐精致又具乐山特色：钵钵鸡、鲍汁糍粑、蛋烘糕……样样好吃。
乐山的愉快之旅离不开在安珀的舒适体验，下次再来乐山还会选择安珀，真心感谢和推荐！
展开更多",正面,315,长(201-500字)
917,酒店房间很好，很安静舒适。和家人出来玩是很好的选择。服务管家小代小袁和前台小汇都很热心！,正面,44,极短(≤50字)
918,酒店服务非常好，设计很好，住的很舒服。管家小帅，小代和司机小祝都服务得很好。下次来乐山的话，还会选择这个酒店。,正面,55,短(51-100字)
919,装修舒适，房间非常的干净整洁，空调都有提前开好，服务超级好，有管家，我的管家小方棒棒哒，美食推荐，旅行购票推荐注意事项都有提醒，旅行十几年住的最舒适，性价比超高。,正面,81,短(51-100字)
920,酒店位置在万达附近，距离美食街也不算远，吃的逛的也比较方便，房间设施齐全，管家小郭小娟服务很好，前台办理入住迅速，整体还不错。,正面,63,短(51-100字)
921,选择乐山安珀酒店入住无疑是这次最正确的决定！奢华的服务，精致的餐食以及高端的配套设施都冲淡了旅途的疲惫。每一次来自管家的关心，都让我倍感温暖。特别感谢前台小郭，管家小张在这次入住时给予我的热情帮助，他们的细心服务让我在这次入住期间体验到来自的家的安全感。,正面,127,中等(101-200字)
922,非常推荐，很好,正面,7,极短(≤50字)
923,宾至如归非常满意,正面,8,极短(≤50字)
924,安珀一如既往的好！,正面,9,极短(≤50字)
925,"卫生：非常满意，房间和公共区域都非常干净

环境：交通方便，法式精致，房间温馨

设施：Dyson吹风机特别好，停车方便

私享管家服务: 感谢管家小税小代和前台小赵小娟，感谢落下物品帮助快递

迷你吧:咖啡机迷你吧非常好，峨眉雪超级好喝

Thank you all & will stay again🩵
展开更多",正面,158,中等(101-200字)
926,酒店非常不错,正面,6,极短(≤50字)
927,特别好 喜欢,正面,6,极短(≤50字)
928,酒店硬件很超前。早餐人性化，客人多了吃自助，客人少了可点餐。管家小祝接恃热情，介紹服务专业，前台小税态度热情。对办理入住很专业。建议酒店给每个楼层电梯边放一个拉圾箱。,中性,83,短(51-100字)
929,酒店环境很棒，设施齐全，迷你吧欢迎水果种类丰富很满意了。周六还送有下午茶☕️出行也很方便去火车站也很近～酒店还送站。真的服务特别好，配了管家小帅，小赵，小尹随时回复和安排我的需求。,正面,90,短(51-100字)
930,"设施：讲究
卫生：很干净
环境：很不错
服务：服务很热情很贴心
私享管家服务:小袁管家很不错",正面,46,极短(≤50字)
931,来乐山旅游 第二次祝住安珀了 好品牌才值得信赖 从从到高铁站就有管家接站服务 管家小帅有礼貌全程贴心也不过度热情 酒店很安静 工作人员也都很有礼貌 房间干净 会送来热乎的黑芝麻糊  住的很舒心 下次再来乐山还会再住,正面,107,中等(101-200字)
932,环境不错 房间是我喜欢的木质格调 很显高级。隔音效果很好 临街的房间也很安静。服务非常到位 尤其是前台小赵、小娟、小钱，还有房间的专属管家。👍👍,正面,72,短(51-100字)
933,入住体验不错，比较安静，设计很有特点，房间也不错，管家小袁小祝服务热情，前台小王很棒，总之是一次不错的入住体验。,正面,56,短(51-100字)
934,办理入住时前台很有礼貌，管家小尹小雷服务非常热情，卫生干净整洁，床很舒服，房间设施挺好的，推荐推荐！！！,正面,52,短(51-100字)
935,酒店设施很好，各个环节都能感觉是用心在做。管家小周服务同样到位，接站、餐饮都安排的井井有条，入住体验很棒。,正面,53,短(51-100字)
936,太棒了服务,正面,5,极短(≤50字)
937,酒店干净卫生，装修设施都很好，性价比很高，管家小赵服务热情周到！入住体验很满意！,正面,40,极短(≤50字)
938,可爱贴心提前联系我的管家小代、小帅，来高铁站接我们的师傅既专业又很真诚的介绍，热情接待的前台小黄让我感觉很亲切舒服的度过了两天假期，老公一直在说这次这家酒店很棒❤️,正面,82,短(51-100字)
939,"真的是太出乎意料了！！！一定要给出游的朋友讲一下我的感受！这家酒店在网上的评论并不多，但几乎给到评论的反馈都还不错，抱着试一试的心态来的，但没想到酒店不管是硬件还是软件都很不错，选用的品牌也都是高端品牌，戴森吹风机，汉斯格雅花洒，喷头和热带雨林同时开启，感觉不要太爽，床垫也超级舒服。从前台Beata和Lena小姐姐那里了解到酒店是今天四月底开业的，设施设备很新，服务超级好，感谢两位小姐姐的服务。酒店外观并不起眼，门头也不大，但是当你走进去之后所有的物品都彰显出一种低调的奢华，有很浓烈的艺术气息。酒店在细节方面做得很到位，电梯里的蝴蝶兰都是真的植物，很美观，房间背景和电梯厅都有真丝刺绣。早餐也是很精致美味的。下次有机会再来乐山一定还会选择乐山安珀的，不会再考虑其他酒店了。
展开更多",正面,344,长(201-500字)
940,酒店很新，服务很好,正面,9,极短(≤50字)
941,干净卫生。,正面,5,极短(≤50字)
942,很棒的酒店,正面,5,极短(≤50字)
943,在乐山难得一见的法式风格酒店，设计风格和服务态度都很棒，感谢管家小方和小徐！,负面,38,极短(≤50字)
944,应该是目前乐山市区最好的酒店了，装修一流，格调满满，还有专业管家服务，管家小帅和小代热情周到，入住前先来电话问需求，入住过程中有任何事情即刻响应，服务超一流。房间温馨舒适，各种设施一应俱全，免费的迷你吧可尽情享用，非常不错的体验。,正面,115,中等(101-200字)
945,房间宽敞明亮，床很舒服，管家小袁服务非常贴心,正面,22,极短(≤50字)
946,酒店服务非常好，特别是管家和前台非常热情，专业贴心，非常感谢管家小代，前台小郭和小赵，下次有机会还会再来,正面,52,短(51-100字)
947,房间不错服务不错,正面,8,极短(≤50字)
948,十分惊喜的一次体验.首先没想到乐山会引进这么有品位的酒店；其次没想到受到如此热情周到的服务，因为赶上乐山降温，酒店管家小代和前台小黄特意给升级了房型！还有美味的欢迎水果和点心，迷你Bar和早餐也很惊喜。总之体验超级好，👍,正面,110,中等(101-200字)
949,酒店还不错，前台办理入住迅速，管家小方小雷服务很贴心，热情，房间舒适，退房还送了伴手礼，下次还会再来哒。,正面,52,短(51-100字)
950,酒店位置不错 也是个挺新的酒店 停车很方便管家小袁前台小颖服务态度很好很贴心 早餐的咖啡挺好喝 下次来还会选择,正面,55,短(51-100字)
951,酒店位置不错,正面,6,极短(≤50字)
